id,received_time,sender,body,is_transaction,bank,account,amount,balance,txn_type,source
US_CORPUS_00013,1787928780000,89887,DOMINO'S: BOGO large pizzas today only! dominos.com. Txt STOP to end.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00014,1787944440000,322632,BofA: A pending authorization of $64.10 at DELTA AIR 0062341 is on your credit card ending 9111. Final amount may vary.,1,Bank of America,9111,64.10,,DEBIT,CARD
US_CORPUS_00015,1787960280000,322632,Bank of America: A purchase of $64.10 at DELTA AIR 0062341 was charged to your credit card ending in 9111 on 08/28.,1,Bank of America,9111,64.10,,DEBIT,CARD
US_CORPUS_00016,1787991420000,322632,BofA: Your credit card ending 9111 was DECLINED for $82.62 at AMAZON MKTPLACE on 08/29. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00017,1788065040000,24273,"Chase: You made a $110.07 debit card purchase with card ending 882 at APPLE.COM/BILL on 08/30. Avail bal: $8,793.75.",1,Chase,882,110.07,"8,793.75",DEBIT,CARD
US_CORPUS_00018,1788136020000,322632,Bank of America: Your credit card ending in 9111 statement is ready. Balance: $716.11. Min payment $35.00 due 09/18.,1,Bank of America,9111,716.11,716.11,DEBIT,CARD
US_CORPUS_00019,1788168300000,24273,"Chase: You made a $70.14 debit card purchase with card ending 882 at STARBUCKS #2214 on 08/31. Avail bal: $8,723.61.",1,Chase,882,70.14,"8,723.61",DEBIT,CARD
US_CORPUS_00020,1788224160000,24273,"Chase: SARAH LOPEZ sent you $76.13 with Zelle(R). Deposited to acct ...9384. Avail bal: $8,799.74.",1,Chase,,76.13,,CREDIT,BANK
US_CORPUS_00021,1788262740000,22000,G-964394 is your Google verification code.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00022,1788318540000,322632,"Bank of America: AutoPay payment of $150.00 was made to your credit card ending 9111 from account 9661 on 09/02. Avail bal acct 9661: $1,120.50.",1,Bank of America,9111,150.00,,CREDIT,CARD
US_CORPUS_00023,1788354780000,322632,BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 09/08. Avoid late fees.,1,Bank of America,9111,35.00,,CREDIT,CARD
US_CORPUS_00024,1788393360000,322632,Bank of America: Your credit card ending in 9111 statement is ready. Balance: $566.11. Min payment $35.00 due 09/20.,1,Bank of America,9111,566.11,566.11,DEBIT,CARD
US_CORPUS_00025,1788410760000,24273,"Chase: Direct deposit of $456.34 from ACME TECHNOLOGIES PAYROLL posted to acct ...9384 on 09/03. Avail bal: $9,256.08.",1,Chase,9384,456.34,"9,256.08",CREDIT,BANK
US_CORPUS_00026,1788428700000,262966,792149 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00027,1788504180000,22000,G-424197 is your Google verification code.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00028,1788534060000,322632,Bank of America: Your credit card ending in 9111 statement is ready. Balance: $566.11. Min payment $35.00 due 09/22.,1,Bank of America,9111,566.11,566.11,DEBIT,CARD
US_CORPUS_00029,1788605460000,322632,Bank of America: AutoPay is now set up for your credit card ending in 9111. $35.00 (minimum due) will be drafted from account 9661 each cycle. No payment was made today.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00030,1788652140000,89887,DOMINO'S: BOGO large pizzas today only! dominos.com. Txt STOP to end.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00031,1788710640000,24273,"Chase: Direct deposit of $2,112.31 from ACME TECHNOLOGIES PAYROLL posted to acct ...9384 on 09/06. Avail bal: $11,368.39.",1,Chase,9384,"2,112.31","11,368.39",CREDIT,BANK
US_CORPUS_00032,1788784080000,22000,G-765616 is your Google verification code.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00033,1788836880000,24273,"Chase: You made a $42.03 debit card purchase with card ending 882 at CHIPOTLE 1187 on 09/08. Avail bal: $11,326.36.",1,Chase,882,42.03,"11,326.36",DEBIT,CARD
US_CORPUS_00034,1788888360000,322632,Bank of America: A purchase of $297.53 at KROGER #771 was charged to your credit card ending in 9111 on 09/08.,1,Bank of America,9111,297.53,,DEBIT,CARD
US_CORPUS_00035,1788895560000,322632,Bank of America: A purchase of $133.07 at TARGET T-1043 was charged to your credit card ending in 9111 on 09/08.,1,Bank of America,9111,133.07,,DEBIT,CARD
US_CORPUS_00036,1788930360000,24273,"Chase: You transferred $500.00 from acct ...9384 to external account ending 9661 on 09/09. Avail bal: $10,826.36.",1,Chase,9384,500.00,"10,826.36",DEBIT,BANK
US_CORPUS_00037,1788941760000,322632,"Bank of America: A transfer of $500.00 was received into account ending 9661 on 09/09. Available balance: $1,620.50.",1,Bank of America,9661,500.00,"1,620.50",CREDIT,BANK
US_CORPUS_00038,1789004460000,+14155550132,Hey are we still on for dinner tonight?,0,Unknown,,,,OTHER,NONE
US_CORPUS_00039,1789014480000,322632,Bank of America: A purchase of $137.61 at SPOTIFY USA was charged to your credit card ending in 9111 on 09/10.,1,Bank of America,9111,137.61,,DEBIT,CARD
US_CORPUS_00040,1789051200000,262966,619585 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00041,1789111740000,24273,"Chase: You scheduled a payment of $151.84 to COMCAST CABLE for 09/19 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,151.84,,CREDIT,BANK
US_CORPUS_00042,1789139340000,24273,"Chase: You made a $138.01 debit card purchase with card ending 882 at PANERA BREAD #4402 on 09/11. Avail bal: $10,688.35.",1,Chase,882,138.01,"10,688.35",DEBIT,CARD
US_CORPUS_00043,1789181760000,24273,"Chase: Direct deposit of $2,249.23 from ACME TECHNOLOGIES PAYROLL posted to acct ...9384 on 09/12. Avail bal: $12,937.58.",1,Chase,9384,"2,249.23","12,937.58",CREDIT,BANK
US_CORPUS_00044,1789233420000,24273,"Chase: You transferred $200.00 from acct ...9384 to WELLS FARGO acct ...4417 on 09/12. Avail bal: $12,737.58.",1,Chase,9384,200.00,"12,737.58",DEBIT,BANK
US_CORPUS_00045,1789250760000,24273,"Chase: Your transfer of $200.00 to acct ...4417 FAILED and was reversed to acct ...9384. Avail bal: $12,937.58.",0,Chase,,,,OTHER,NONE
US_CORPUS_00046,1789278960000,24273,"Chase: You sent $168.43 to SARAH LOPEZ with Zelle(R) from acct ending 9384 on 09/13. Avail bal: $12,769.15.",1,Chase,9384,168.43,"12,769.15",DEBIT,BANK
US_CORPUS_00047,1789324320000,24273,"Chase: You scheduled a payment of $141.87 to COMCAST CABLE for 09/21 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,141.87,,CREDIT,BANK
US_CORPUS_00048,1789374360000,24273,"Chase: EMILY DAVIS sent you $44.83 with Zelle(R). Deposited to acct ...9384. Avail bal: $12,813.98.",1,Chase,,44.83,,CREDIT,BANK
US_CORPUS_00049,1789414380000,24273,"Chase: You scheduled a payment of $276.99 to COMCAST CABLE for 09/22 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,276.99,,CREDIT,BANK
US_CORPUS_00050,1789480980000,322632,"Bank of America: A withdrawal/debit of $147.93 (GEICO AUTO INS) posted to account ending 9661 on 09/15. Available balance: $1,472.57.",1,Bank of America,9661,147.93,"1,472.57",DEBIT,BANK
US_CORPUS_00051,1789526880000,672566,"Netflix: Your payment method was updated successfully. If this wasn't you, visit netflix.com/account.",0,Unknown,,,,OTHER,NONE
US_CORPUS_00052,1789587540000,24273,Chase: EMILY DAVIS requested $64.07 from you with Zelle(R). Review in the Chase Mobile app. No money has moved.,1,Chase,,64.07,,DEBIT,BANK
US_CORPUS_00053,1789645140000,24273,"Chase: You made a $69.81 debit card purchase with card ending 882 at PANERA BREAD #4402 on 09/17. Avail bal: $12,744.17.",1,Chase,882,69.81,"12,744.17",DEBIT,CARD
US_CORPUS_00054,1789706880000,24273,"Chase: SARAH LOPEZ sent you $140.47 with Zelle(R). Deposited to acct ...9384. Avail bal: $12,884.64.",1,Chase,,140.47,,CREDIT,BANK
US_CORPUS_00055,1789739520000,24273,"Chase: You scheduled a payment of $186.35 to COMCAST CABLE for 09/26 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,186.35,,CREDIT,BANK
US_CORPUS_00056,1789802820000,+14155550132,Happy birthday!! 🎉,0,Unknown,,,,OTHER,NONE
US_CORPUS_00057,1789867860000,322632,"Bank of America: A withdrawal/debit of $96.12 (PG&E UTILITY) posted to account ending 9661 on 09/20. Available balance: $1,376.45.",1,Bank of America,9661,96.12,"1,376.45",DEBIT,BANK
US_CORPUS_00058,1789910040000,322632,Bank of America: A purchase of $221.70 at AMAZON MKTPLACE was charged to your credit card ending in 9111 on 09/20.,1,Bank of America,9111,221.70,,DEBIT,CARD
US_CORPUS_00059,1789939140000,322632,"Bank of America: An Overdraft Item Fee of $35 was assessed to account ending 9661 on 09/20. Available balance: $1,341.45.",1,Bank of America,9661,"1,341.45","1,341.45",DEBIT,BANK
US_CORPUS_00060,1789946400000,24273,"Chase: You made a $70.93 debit card purchase with card ending 882 at DELTA AIR 0062341 on 09/20. Avail bal: $12,813.71.",1,Chase,882,70.93,"12,813.71",DEBIT,CARD
US_CORPUS_00061,1790005680000,322632,BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 09/27. Avoid late fees.,1,Bank of America,9111,35.00,,CREDIT,CARD
US_CORPUS_00062,1790019660000,24273,"Chase: Direct deposit of $1,663.43 from ACME TECHNOLOGIES PAYROLL posted to acct ...9384 on 09/21. Avail bal: $14,477.14.",1,Chase,9384,"1,663.43","14,477.14",CREDIT,BANK
US_CORPUS_00063,1790062560000,262966,284377 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00064,1790083740000,322632,BofA: Your credit card ending 9111 was DECLINED for $323.75 at UBER TRIP on 09/22. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00065,1790110080000,24273,"Chase: You made a $57.47 debit card purchase with card ending 882 at TRADER JOE'S #552 on 09/22. Avail bal: $14,419.67.",1,Chase,882,57.47,"14,419.67",DEBIT,CARD
US_CORPUS_00066,1790122380000,24273,"Chase: A mobile check deposit of $1,250.00 was received for acct ...9384 on 09/23. Avail bal: $15,669.67.",1,Chase,9384,"1,250.00","15,669.67",CREDIT,BANK
US_CORPUS_00067,1790130120000,24273,Chase: A hold has been placed on part of your recent deposit to acct ...9384. $250.00 available now; remainder available in 2 business days.,1,Chase,9384,250.00,,CREDIT,BANK
US_CORPUS_00068,1790155860000,24273,"Chase: RAJ PATEL sent you $144.21 with Zelle(R). Deposited to acct ...9384. Avail bal: $15,813.88.",1,Chase,,144.21,,CREDIT,BANK
US_CORPUS_00069,1790213100000,322632,Bank of America: A purchase of $9.32 at STARBUCKS #2214 was charged to your credit card ending in 9111 on 09/24.,1,Bank of America,9111,9.32,,DEBIT,CARD
US_CORPUS_00070,1790277540000,24273,"Chase: You scheduled a payment of $211.20 to COMCAST CABLE for 10/02 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,211.20,,CREDIT,BANK
US_CORPUS_00071,1790350200000,322632,BofA: Your credit card ending 9111 was DECLINED for $339.70 at TRADER JOE'S #552 on 09/25. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00072,1790410200000,89887,DOMINO'S: BOGO large pizzas today only! dominos.com. Txt STOP to end.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00073,1790420880000,322632,"Bank of America: A withdrawal/debit of $127.77 (ATM WITHDRAWAL #A5521) posted to account ending 9661 on 09/26. Available balance: $1,213.68.",1,Bank of America,9661,127.77,"1,213.68",DEBIT,BANK
US_CORPUS_00074,1790490660000,322632,"BofA Alert: Credit card ending 9111 was used for 1234.56 USD at BEST BUY #442 on 09/27. Avail credit: $1,600.10. Fraud? Call 800.732.9194.",1,Bank of America,9111,"1,600.10","1,600.10",DEBIT,CARD
US_CORPUS_00075,1790529300000,24273,"Chase: You made a $.99 debit card purchase with card ending 882 at APPLE.COM/BILL on 09/27. Avail bal: $15,812.89.",1,Chase,882,"15,812.89","15,812.89",DEBIT,CARD
US_CORPUS_00076,1790557920000,24273,"Chase: You made a $161.23 debit card purchase with card ending 882 at 7-ELEVEN 33481 on 09/28. Avail bal: $15,651.66.",1,Chase,882,161.23,"15,651.66",DEBIT,CARD
US_CORPUS_00077,1790615040000,322632,Bank of America: A purchase of $290.87 at SHELL OIL 5744 was charged to your credit card ending in 9111 on 09/28.,1,Bank of America,9111,290.87,,DEBIT,CARD
US_CORPUS_00078,1790639520000,322632,"Bank of America: A withdrawal/debit of $138.95 (COMCAST CABLE) posted to account ending 9661 on 09/28. Available balance: $1,074.73.",1,Bank of America,9661,138.95,"1,074.73",DEBIT,BANK
US_CORPUS_00079,1790661960000,672566,"Netflix: Your payment method was updated successfully. If this wasn't you, visit netflix.com/account.",0,Unknown,,,,OTHER,NONE
US_CORPUS_00080,1790704860000,89887,DOMINO'S: BOGO large pizzas today only! dominos.com. Txt STOP to end.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00081,1790726280000,24273,"Chase: You made a $98.15 debit card purchase with card ending 882 at SHELL OIL 5744 on 09/29. Avail bal: $15,553.51.",1,Chase,882,98.15,"15,553.51",DEBIT,CARD
US_CORPUS_00082,1790739000000,24273,"Chase: $76.40 was debited from checking acct ending 9384 via debit card 882 at COSTCO WHSE #482 on 09/30. Avail bal: $15,477.11.",1,Chase,9384,76.40,"15,477.11",DEBIT,CARD
US_CORPUS_00083,1790787300000,24273,"Chase: You made a $11.40 debit card purchase with card ending 882 at DELTA AIR 0062341 on 09/30. Avail bal: $15,465.71.",1,Chase,882,11.40,"15,465.71",DEBIT,CARD
US_CORPUS_00084,1790854080000,24273,Chase: Your one-time code is 123207. Don't share it. We'll never call to ask for it.,0,Chase,,,,OTHER,NONE
US_CORPUS_00085,1790883900000,24273,"Chase: You made a $27.42 debit card purchase with card ending 882 at SHELL OIL 5744 on 10/01. Avail bal: $15,438.29.",1,Chase,882,27.42,"15,438.29",DEBIT,CARD
US_CORPUS_00086,1790950920000,322632,Bank of America: A purchase of $12.94 at APPLE.COM/BILL was charged to your credit card ending in 9111 on 10/02.,1,Bank of America,9111,12.94,,DEBIT,CARD
US_CORPUS_00087,1790991420000,322632,Bank of America: A purchase of $199.95 at 7-ELEVEN 33481 was charged to your credit card ending in 9111 on 10/03.,1,Bank of America,9111,199.95,,DEBIT,CARD
US_CORPUS_00088,1791061140000,322632,"Bank of America: A withdrawal/debit of $26.76 (GEICO AUTO INS) posted to account ending 9661 on 10/03. Available balance: $1,047.97.",1,Bank of America,9661,26.76,"1,047.97",DEBIT,BANK
US_CORPUS_00089,1791103320000,24273,Chase Fraud Alert: Did you attempt $412.77 at ONLINE MERCHANT with debit card ending 882? Reply YES or NO.,1,Chase,882,412.77,,DEBIT,CARD
US_CORPUS_00090,1791113280000,24273,"Chase: Thanks for confirming. The $412.77 charge at ONLINE MERCHANT on card 882 has been approved and posted. Avail bal: $15,025.52.",1,Chase,,412.77,"15,025.52",DEBIT,CARD
US_CORPUS_00091,1791157020000,262966,567532 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00092,1791207360000,37777,USPS: Your package 9435303465369919986 is out for delivery today.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00093,1791280740000,322632,"Bank of America: Your credit card ending in 9111 statement is ready. Balance: $3,103.66. Min payment $35.00 due 10/24.",1,Bank of America,9111,"3,103.66","3,103.66",DEBIT,CARD
US_CORPUS_00094,1791302940000,24273,"Chase: You made a $171.59 debit card purchase with card ending 882 at STARBUCKS #2214 on 10/06. Avail bal: $14,853.93.",1,Chase,882,171.59,"14,853.93",DEBIT,CARD
US_CORPUS_00095,1791311040000,+14155550132,Running 10 min late,0,Unknown,,,,OTHER,NONE
US_CORPUS_00096,1791359520000,22000,G-208915 is your Google verification code.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00097,1791368040000,86753,Venmo: You paid John Miller $45.00. Funding source: Chase debit card ...882. Avail Venmo balance: $0.00.,1,Chase,882,45.00,0.00,DEBIT,CARD
US_CORPUS_00098,1791423240000,24273,"Chase: You sent $46.05 to SARAH LOPEZ with Zelle(R) from acct ending 9384 on 10/08. Avail bal: $14,762.88.",1,Chase,9384,46.05,"14,762.88",DEBIT,BANK
US_CORPUS_00099,1791448080000,672566,"Netflix: Your payment method was updated successfully. If this wasn't you, visit netflix.com/account.",0,Unknown,,,,OTHER,NONE
US_CORPUS_00100,1791497580000,24273,Chase: Your one-time code is 747015. Don't share it. We'll never call to ask for it.,0,Chase,,,,OTHER,NONE
US_CORPUS_00101,1791539700000,322632,"Bank of America: Your credit card ending in 9111 statement is ready. Balance: $3,103.66. Min payment $35.00 due 10/27.",1,Bank of America,9111,"3,103.66","3,103.66",DEBIT,CARD
US_CORPUS_00102,1791548640000,322632,BofA: Your credit card ending 9111 was DECLINED for $123.55 at TARGET T-1043 on 10/09. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00103,1791612900000,24273,"Chase: SARAH LOPEZ sent you $73.71 with Zelle(R). Deposited to acct ...9384. Avail bal: $14,836.59.",1,Chase,,73.71,,CREDIT,BANK
US_CORPUS_00104,1791651780000,322632,Bank of America: A purchase of $88.20 at TARGET T-1043 was charged to your credit card ending in 9111 on 10/10.,1,Bank of America,9111,88.20,,DEBIT,CARD
US_CORPUS_00105,1791658140000,322632,Bank of America: A purchase of $88.20 at TARGET T-1043 was charged to your credit card ending in 9111 on 10/10.,1,Bank of America,9111,88.20,,DEBIT,CARD
US_CORPUS_00106,1791223320000,322632,Bank of America: A purchase of $38.14 at BEST BUY #442 was charged to your credit card ending in 9111 on 10/05.,1,Bank of America,9111,38.14,,DEBIT,CARD
US_CORPUS_00107,1791238320000,24273,"Chase: You made a $53.99 debit card purchase with card ending 882 at SPOTIFY USA on 10/05. Avail bal: $14,782.60.",1,Chase,882,53.99,"14,782.60",DEBIT,CARD
US_CORPUS_00108,1791277560000,24273,"Chase: You made a $132.33 debit card purchase with card ending 882 at WALMART SUPERCENTER on 10/06. Avail bal: $14,650.27.",1,Chase,882,132.33,"14,650.27",DEBIT,CARD
US_CORPUS_00109,1791331680000,262966,282295 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00110,1791369180000,322632,BofA: Your credit card ending 9111 was DECLINED for $164.69 at CHIPOTLE 1187 on 10/07. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00111,1791390000000,+14155550132,Hey are we still on for dinner tonight?,0,Unknown,,,,OTHER,NONE
US_CORPUS_00112,1791421740000,262966,818341 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00113,1791450960000,24273,Chase Fraud Alert: Did you attempt $613.12 at ONLINE MERCHANT with debit card ending 882? Reply YES or NO.,1,Chase,882,613.12,,DEBIT,CARD
US_CORPUS_00114,1791494040000,322632,BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 10/14. Avoid late fees.,1,Bank of America,9111,35.00,,CREDIT,CARD
US_CORPUS_00115,1791510420000,24273,"Chase: You made a $67.33 debit card purchase with card ending 882 at CHIPOTLE 1187 on 10/09. Avail bal: $14,582.94.",1,Chase,882,67.33,"14,582.94",DEBIT,CARD
US_CORPUS_00116,1791563040000,24273,"Chase: RAJ PATEL sent you $81.74 with Zelle(R). Deposited to acct ...9384. Avail bal: $14,664.68.",1,Chase,,81.74,,CREDIT,BANK
US_CORPUS_00117,1791583680000,24273,"Chase: Direct deposit of $1,314.13 from ACME TECHNOLOGIES PAYROLL posted to acct ...9384 on 10/09. Avail bal: $15,978.81.",1,Chase,9384,"1,314.13","15,978.81",CREDIT,BANK
US_CORPUS_00118,1791605220000,24273,"Chase: Your online payment of $173.31 to BANK OF AMERICA CARD 9111 from acct ...9384 is complete on 10/10. Avail bal: $15,805.50.",1,Chase,9384,173.31,"15,805.50",CREDIT,CARD
US_CORPUS_00119,1791606960000,322632,"BofA: Payment of $173.31 received on credit card ending 9111. Thank you. Avail credit: $1,143.31.",1,Bank of America,9111,173.31,"1,143.31",CREDIT,CARD
US_CORPUS_00120,1791621780000,22000,G-547085 is your Google verification code.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00121,1791674760000,24273,Chase: Your one-time code is 224604. Don't share it. We'll never call to ask for it.,0,Chase,,,,OTHER,NONE
US_CORPUS_00122,1791711900000,24273,"Chase: You sent $75.86 to MIKE CHEN with Zelle(R) from acct ending 9384 on 10/11. Avail bal: $15,729.64.",1,Chase,9384,75.86,"15,729.64",DEBIT,BANK
US_CORPUS_00123,1791763860000,322632,BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 10/18. Avoid late fees.,1,Bank of America,9111,35.00,,CREDIT,CARD
US_CORPUS_00124,1791792840000,24273,"Chase: You made a $145.61 debit card purchase with card ending 882 at KROGER #771 on 10/12. Avail bal: $15,584.03.",1,Chase,882,145.61,"15,584.03",DEBIT,CARD
US_CORPUS_00125,1791843360000,322632,"Bank of America: Your credit card ending in 9111 statement is ready. Balance: $3,056.69. Min payment $35.00 due 10/30.",1,Bank of America,9111,"3,056.69","3,056.69",DEBIT,CARD
US_CORPUS_00126,1791891840000,322632,Bank of America: A purchase of $77.30 at TARGET T-1043 was charged to your credit card ending in 9111 on 10/13.,1,Bank of America,9111,77.30,,DEBIT,CARD
US_CORPUS_00127,1791893820000,322632,Bank of America: A purchase of $77.30 at TARGET T-1043 was charged to your credit card ending in 9111 on 10/13.,1,Bank of America,9111,77.30,,DEBIT,CARD
US_CORPUS_00128,1791911340000,+14155550132,Movie at 8?,0,Unknown,,,,OTHER,NONE
US_CORPUS_00129,1791920040000,+14155550132,Movie at 8?,0,Unknown,,,,OTHER,NONE
US_CORPUS_00130,1791964260000,322632,"Bank of America: A refund of $36.52 from COSTCO WHSE #482 was credited to your credit card ending in 9111 on 10/14. Avail credit: $1,102.53.",1,Bank of America,9111,36.52,"1,102.53",CREDIT,CARD
US_CORPUS_00131,1791971700000,322632,BofA: Your credit card ending 9111 was DECLINED for $105.79 at KROGER #771 on 10/14. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00132,1791999060000,+14155550132,Running 10 min late,0,Unknown,,,,OTHER,NONE
US_CORPUS_00133,1792015140000,+14155550132,Movie at 8?,0,Unknown,,,,OTHER,NONE
US_CORPUS_00134,1792063680000,322632,BofA: A pending authorization of $71.78 at TARGET T-1043 is on your credit card ending 9111. Final amount may vary.,1,Bank of America,9111,71.78,,DEBIT,CARD
US_CORPUS_00135,1792114800000,672566,"Netflix: Your payment method was updated successfully. If this wasn't you, visit netflix.com/account.",0,Unknown,,,,OTHER,NONE
US_CORPUS_00136,1792156500000,24273,"Chase: You scheduled a payment of $174.86 to COMCAST CABLE for 10/24 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,174.86,,CREDIT,BANK
US_CORPUS_00137,1792203360000,322632,Bank of America: A purchase of $79.32 at WHOLE FOODS MKT was charged to your credit card ending in 9111 on 10/17.,1,Bank of America,9111,79.32,,DEBIT,CARD
US_CORPUS_00138,1792227720000,24273,Chase Fraud Alert: Did you attempt $485.08 at ONLINE MERCHANT with debit card ending 882? Reply YES or NO.,1,Chase,882,485.08,,DEBIT,CARD
US_CORPUS_00139,1792246440000,24273,"Chase: You made a $148.65 debit card purchase with card ending 882 at AMAZON MKTPLACE on 10/17. Avail bal: $15,435.38.",1,Chase,882,148.65,"15,435.38",DEBIT,CARD
US_CORPUS_00140,1792264140000,322632,Bank of America: A purchase of $175.27 at WALMART SUPERCENTER was charged to your credit card ending in 9111 on 10/17.,1,Bank of America,9111,175.27,,DEBIT,CARD
US_CORPUS_00141,1792319280000,24273,"Chase: SARAH LOPEZ sent you $32.43 with Zelle(R). Deposited to acct ...9384. Avail bal: $15,467.81.",1,Chase,,32.43,,CREDIT,BANK
US_CORPUS_00142,1792353540000,24273,"Chase: You sent $120.81 to JOHN MILLER with Zelle(R) from acct ending 9384 on 10/18. Avail bal: $15,347.00.",1,Chase,9384,120.81,"15,347.00",DEBIT,BANK
US_CORPUS_00143,1792413600000,24273,"Chase: JOHN MILLER sent you $111.99 with Zelle(R). Deposited to acct ...9384. Avail bal: $15,458.99.",1,Chase,,111.99,,CREDIT,BANK
US_CORPUS_00144,1792444380000,262966,877412 is your Amazon OTP. Do not share it with anyone.,0,Unknown,,,,OTHER,NONE
US_CORPUS_00145,1792502220000,322632,Bank of America: A withdrawal/debit of $84.02 (ATM WITHDRAWAL #A5521) posted to account ending 9661 on 10/20. Available balance: $963.95.,1,Bank of America,9661,84.02,963.95,DEBIT,BANK
US_CORPUS_00146,1792516620000,24273,"Chase: You made a $129.43 debit card purchase with card ending 882 at WHOLE FOODS MKT on 10/20. Avail bal: $15,329.56.",1,Chase,882,129.43,"15,329.56",DEBIT,CARD
US_CORPUS_00147,1792560420000,322632,BofA: A pending authorization of $87.08 at APPLE.COM/BILL is on your credit card ending 9111. Final amount may vary.,1,Bank of America,9111,87.08,,DEBIT,CARD
